,apparent_elevation,azimuth,simulation_direct,direct_reacted
2020-01-01 09:00:00+01:00,1.5809171610426391,130.92998849100888,0.086,0.00159084607023403
2020-01-01 09:30:00+01:00,4.77905297164327,136.96122291103308,0.062,0.008840973403145247
2020-01-01 10:00:00+01:00,7.722743418701183,143.2104340865946,0.068,0.02314328421103331
2020-01-01 10:30:00+01:00,10.280932450761945,149.68610703969262,0.078,0.04266756301282733
2020-01-01 11:00:00+01:00,12.387515477079173,156.38074911679382,0.078,0.056960515744962345
2020-01-01 11:30:00+01:00,13.992801972174275,163.2692387703056,0.072,0.06296662189999518
2020-01-01 12:00:00+01:00,15.058037541388758,170.3088647831721,0.096,0.09328253627559385
2020-01-01 12:30:00+01:00,15.556446952357083,177.44182333881713,0.076,0.07732399950356908
2020-01-01 13:00:00+01:00,15.475136022890808,184.60036478501212,0.066,0.06665497401860339
2020-01-01 13:30:00+01:00,14.816233637809315,191.71393607715322,0.076,0.07216118756260725
2020-01-01 14:00:00+01:00,13.596695259930044,198.7169220435705,0.082,0.06876139681832528
2020-01-01 14:30:00+01:00,11.846858311780851,205.55534555600065,0.096,0.06550240050377415
2020-01-01 15:00:00+01:00,9.608546532544663,212.19129854030496,0.092,0.0451245528014454
2020-01-01 15:30:00+01:00,6.93490219690183,218.60470037091594,0.084,0.023684682211445148
2020-01-01 16:00:00+01:00,3.9009090234255375,224.79277368202003,0.07,0.006779762077679588
2020-01-01 16:30:00+01:00,0.6902947662204981,230.7680881023556,0.082,0.0004925765696763572
2020-01-02 09:00:00+01:00,1.5951461043031299,130.79411013878882,0.056,0.0010483651733458285
2020-01-02 09:30:00+01:00,4.801831014424027,136.82598529317943,0.062,0.00890201349787952
2020-01-02 10:00:00+01:00,7.754311836653816,143.07614245934678,0.098,0.03353225949842435
2020-01-02 10:30:00+01:00,10.321808235332501,149.5533787167995,0.094,0.051671322076067595
2020-01-02 11:00:00+01:00,12.438138343983864,156.25050250640982,0.07,0.05136710444005605
2020-01-02 11:30:00+01:00,14.053425074048858,163.14264460624372,0.078,0.06856111497710526
2020-01-02 12:00:00+01:00,15.128670166875109,170.18725233470627,0.086,0.08402630355626955
2020-01-02 12:30:00+01:00,15.636826652394454,177.32654711581256,0.076,0.07779862473392485
2020-01-02 13:00:00+01:00,15.564731295253111,184.49265281935496,0.086,0.0874632131750475
2020-01-02 13:30:00+01:00,14.914276482516438,191.61475157902575,0.072,0.06892907846365566
2020-01-02 14:00:00+01:00,13.702234566073136,198.6268691066947,0.072,0.06098803447769904
2020-01-02 14:30:00+01:00,11.958814379596154,205.4746358541298,0.08,0.05530015593885374
2020-01-02 15:00:00+01:00,9.725728009092347,212.11977655666277,0.082,0.04095606061968902
2020-01-02 15:30:00+01:00,7.055868856378606,218.54190929200007,0.076,0.022053060508003937
2020-01-02 16:00:00+01:00,4.023042202541004,224.7380382546003,0.052,0.005330203647698648
2020-01-02 16:30:00+01:00,0.803072127478209,230.72059377596358,0.074,0.0005237956085324391
2020-01-03 09:00:00+01:00,1.615864237092291,130.65540729559262,0.072,0.0013727756485869672
2020-01-03 09:30:00+01:00,4.831646722432471,136.68831562314722,0.078,0.011304839198513182
2020-01-03 10:00:00+01:00,7.793136284158211,142.93985905417412,0.094,0.03238134409934341
2020-01-03 10:30:00+01:00,10.370078825046784,149.4191516618714,0.09,0.049762318364135735
2020-01-03 11:00:00+01:00,12.496249339732326,156.119304026294,0.074,0.054607140766138956
2020-01-03 11:30:00+01:00,14.121586096451841,163.0156949519519,0.082,0.07248909242274454
2020-01-03 12:00:00+01:00,15.206842748854017,170.065919785779,0.068,0.06684252787925683
2020-01-03 12:30:00+01:00,15.724696518815906,177.2122087803025,0.072,0.07419431650195045
2020-01-03 13:00:00+01:00,15.661713642527431,184.38653877690004,0.074,0.07582486783675885
2020-01-03 13:30:00+01:00,15.019552150660596,191.51780543572355,0.092,0.08884909576335386
2020-01-03 14:00:00+01:00,13.8148070588042,198.5396561099708,0.072,0.061638281385936224
2020-01-03 14:30:00+01:00,12.077567239893678,205.397314923035,0.088,0.06166144385197127
2020-01-03 15:00:00+01:00,9.84944350028455,212.05213238348972,0.08,0.04071468375386036
2020-01-03 15:30:00+01:00,7.183092938211686,218.4834250733843,0.06,0.01793070093740591
2020-01-03 16:00:00+01:00,4.151176211731982,224.6879841609363,0.068,0.007382393626022437
2020-01-03 16:30:00+01:00,0.9217514538389036,230.67810993814118,0.074,0.000617057324049927
2020-01-04 09:00:00+01:00,1.643103057746934,130.51398869592242,0.09,0.0017585166345169458
2020-01-04 09:30:00+01:00,4.868513308759103,136.5483203279453,0.076,0.011146065872300258
2020-01-04 10:00:00+01:00,7.839219918247723,142.80168821209867,0.07,0.024310503795910012
2020-01-04 10:30:00+01:00,10.425738854871424,149.28352829436682,0.082,0.04564764717758587
2020-01-04 11:00:00+01:00,12.561834939202905,155.98725431226876,0.082,0.06089457759209183
2020-01-04 11:30:00+01:00,14.197263472012052,162.88848877673206,0.086,0.07650623949457637
2020-01-04 12:00:00+01:00,15.292525744815414,169.94496450745214,0.106,0.10488424872364323
2020-01-04 12:30:00+01:00,15.820019112533675,177.0989040612102,0.094,0.09755768299716594
2020-01-04 13:00:00+01:00,15.76603786283845,184.28211652201057,0.076,0.07849713330210947
2020-01-04 13:30:00+01:00,15.132007918321563,191.42318920581013,0.064,0.06238024057856399
2020-01-04 14:00:00+01:00,13.934352908278827,198.4553716657884,0.084,0.07271381954301337
2020-01-04 14:30:00+01:00,12.203050655513556,205.32346766214027,0.064,0.04548155185302492
2020-01-04 15:00:00+01:00,9.979621586335023,211.98844642551873,0.07,0.03632213826216027
2020-01-04 15:30:00+01:00,7.316500421299213,218.42932293289178,0.08,0.024638369540906983
2020-01-04 16:00:00+01:00,4.285242231745422,224.64268089969562,0.098,0.011274590705397805
2020-01-04 16:30:00+01:00,1.0463386163963522,230.64070003169735,0.054,0.0005299459884309617
2020-01-05 09:00:00+01:00,1.6768939389816895,130.36996192886966,0.078,0.0015712898737122727
2020-01-05 09:30:00+01:00,4.912439720935143,136.40610426397978,0.098,0.014578457601954802
2020-01-05 10:00:00+01:00,7.892561021382378,142.6617323009599,0.066,0.023139501174746332
2020-01-05 10:30:00+01:00,10.488778050533423,149.1466086859321,0.072,0.04039098205079162
2020-01-05 11:00:00+01:00,12.634876837278645,155.8544513176323,0.08,0.059828864161234264
2020-01-05 11:30:00+01:00,14.280431054747952,162.76112207463962,0.082,0.0734529346087288
2020-01-05 12:00:00+01:00,15.38568527596114,169.8244806430414,0.078,0.07772954538113368
2020-01-05 12:30:00+01:00,15.92275292640575,176.9867252412007,0.08,0.08366191733962577
2020-01-05 13:00:00+01:00,15.877654971358933,184.1794762723729,0.086,0.08957741995553145
2020-01-05 13:30:00+01:00,15.251587574915897,191.3309906081095,0.07,0.06889135882559112
2020-01-05 14:00:00+01:00,14.060809101557917,198.3741003424477,0.066,0.0577968245651209
2020-01-05 14:30:00+01:00,12.335195508786231,205.25317470608712,0.064,0.046150292513744334
2020-01-05 15:00:00+01:00,10.11618824194724,211.92879458156548,0.058,0.03070063697556634
2020-01-05 15:30:00+01:00,7.456014805486078,218.3796733213639,0.062,0.01968962475591268
