,apparent_elevation,azimuth,simulation_direct,direct_reacted
2020-01-01 06:30:00+10:00,10.614205380888881,110.92668744065861,0.09,0.010910915363467067
2020-01-01 07:00:00+10:00,17.231286880849243,109.03804668795038,0.17,0.07314702822182298
2020-01-01 07:30:00+10:00,23.936665892437784,107.38169206412465,0.17,0.13929570282388704
2020-01-01 08:00:00+10:00,30.70565510160801,105.94371494686686,0.22,0.2718249488681619
2020-01-01 08:30:00+10:00,37.52297566919824,104.72559472023227,0.24,0.39584009884198407
2020-01-01 09:00:00+10:00,44.376704158107195,103.75024366970797,0.23,0.4696178970067661
2020-01-01 09:30:00+10:00,51.256063069077605,103.07615604934779,0.22,0.5279027167345189
2020-01-01 10:00:00+10:00,58.14951806157905,102.83139357756977,0.13,0.35260265980729566
2020-01-01 10:30:00+10:00,65.04130397380291,103.30487121649679,0.22,0.6538769029272282
2020-01-01 11:00:00+10:00,71.90119713287883,105.24351314166341,0.27,0.8566938217746204
2020-01-01 11:30:00+10:00,78.63889714460907,111.17894000965839,0.21,0.6951262612102964
2020-01-01 12:00:00+10:00,84.71477582652169,135.5537193312,0.22,0.7437594373268936
2020-01-01 12:30:00+10:00,85.06231463758674,220.4036046602811,0.21,0.7104798121755213
2020-01-01 13:00:00+10:00,79.11755611008871,248.06594924129843,0.18,0.5971695853994223
2020-01-01 13:30:00+10:00,72.39715327859383,254.5406451705524,0.17,0.5414887064618403
2020-01-01 14:00:00+10:00,65.54125512649658,256.64492076669626,0.25,0.7472444761444411
2020-01-01 14:30:00+10:00,58.64982286456274,257.1911853506779,0.2,0.5466524070861051
2020-01-01 15:00:00+10:00,51.7550400025001,256.9866365240863,0.28,0.6787451620294167
2020-01-01 15:30:00+10:00,44.873218653251975,256.339065632544,0.23,0.475933215106521
2020-01-01 16:00:00+10:00,38.01603339742127,255.38403443479768,0.2,0.3357709731672659
2020-01-01 16:30:00+10:00,31.194227705060435,254.1835967471718,0.22,0.27852075753926303
2020-01-01 17:00:00+10:00,24.419559073559913,252.7626477888861,0.17,0.144343588934495
2020-01-01 17:30:00+10:00,17.706922764285014,251.1239720910331,0.16,0.07304356692386436
2020-01-01 18:00:00+10:00,11.079843804492487,249.25468441187468,0.1,0.01389761818630981
2020-01-02 06:30:00+10:00,10.487735640528097,110.88135593231095,0.14,0.01639480604199589
2020-01-02 07:00:00+10:00,17.106283754054715,108.98549809718565,0.21,0.08909428129238196
2020-01-02 07:30:00+10:00,23.813639068963994,107.32102446066114,0.21,0.17069515059138932
2020-01-02 08:00:00+10:00,30.584845505980862,105.87341158922936,0.21,0.2581211787433656
2020-01-02 08:30:00+10:00,37.40459663577667,104.64326759763907,0.18,0.29581532981238085
2020-01-02 09:00:00+10:00,44.26101933553399,103.65213874536175,0.18,0.3665950102117063
2020-01-02 09:30:00+10:00,51.143458225041805,102.95616057859172,0.22,0.526960383286438
2020-01-02 10:00:00+10:00,58.04062713723625,102.67886330479672,0.23,0.6230810682738249
2020-01-02 10:30:00+10:00,64.93730605453854,103.0991894363001,0.27,0.8018900646704662
2020-01-02 11:00:00+10:00,71.80470793314912,104.93742164553237,0.22,0.6978076138702985
2020-01-02 11:30:00+10:00,78.55775098102562,110.62862629665517,0.18,0.5958305060675686
2020-01-02 12:00:00+10:00,84.69116396214736,134.1051502679453,0.21,0.7101968458658262
2020-01-02 12:30:00+10:00,85.19529733837746,220.07550590819744,0.25,0.8463718045328972
2020-01-02 13:00:00+10:00,79.24617827121128,248.30044066037348,0.27,0.8966391592750718
2020-01-02 13:30:00+10:00,72.51706756261663,254.7536278146778,0.21,0.6697845534508109
2020-01-02 14:00:00+10:00,65.65524665267748,256.8248624729737,0.25,0.7485106076661812
2020-01-02 14:30:00+10:00,58.759165736365595,257.3473929328668,0.22,0.602589358022169
2020-01-02 15:00:00+10:00,51.860312011646066,257.126485108934,0.23,0.5590005009650668
2020-01-02 15:30:00+10:00,44.974657668148964,256.46764064059926,0.2,0.4152025379161202
2020-01-02 16:00:00+10:00,38.11368084897956,255.50493272327788,0.25,0.4214434745884337
2020-01-02 16:30:00+10:00,31.287987931049393,254.29949988082774,0.27,0.34366793282313884
2020-01-02 17:00:00+10:00,24.509217969923377,252.87567760452941,0.22,0.1882091551836434
2020-01-02 17:30:00+10:00,17.792131681081884,251.23591399802982,0.13,0.060059204164894
2020-01-02 18:00:00+10:00,11.160008405089094,249.3671342877924,0.15,0.021391795970954332
2020-01-03 06:30:00+10:00,10.360226193768451,110.82835825795377,0.07,0.007912731843943128
2020-01-03 07:00:00+10:00,16.98054316517611,108.92505674657582,0.15,0.06274266659194097
2020-01-03 07:30:00+10:00,23.690173841477538,107.25212942371411,0.19,0.15320363313667432
2020-01-03 08:00:00+10:00,30.46388556266593,105.79440868339941,0.26,0.3179275146023529
2020-01-03 08:30:00+10:00,37.286347263181376,104.55158813742565,0.21,0.34389351630236925
2020-01-03 09:00:00+10:00,44.1457413757712,103.54378106176381,0.15,0.304733883910365
2020-01-03 09:30:00+10:00,51.03154177280987,102.82465536703717,0.19,0.4543088997017637
2020-01-03 10:00:00+10:00,57.93272088057787,102.51302245666517,0.32,0.8658825121652535
2020-01-03 10:30:00+10:00,64.83462083504563,102.87750992842552,0.25,0.7419690241718336
2020-01-03 11:00:00+10:00,71.70992120812714,104.61110418653391,0.26,0.8244292869597781
2020-01-03 11:30:00+10:00,78.47879813451922,110.05125352785154,0.19,0.6289618581406858
2020-01-03 12:00:00+10:00,84.67007542110878,132.61749641638312,0.24,0.8119579754386652
2020-01-03 12:30:00+10:00,85.33303541065582,219.80067499250384,0.26,0.880835589558733
2020-01-03 13:00:00+10:00,79.37575509411108,248.5815471422286,0.26,0.864302446110393
2020-01-03 13:30:00+10:00,72.63666615741356,254.9950742184971,0.15,0.4790599507968065
2020-01-03 14:00:00+10:00,65.76829353703081,257.0249338130686,0.27,0.8097698340089663
2020-01-03 14:30:00+10:00,58.86714129563536,257.5191948388359,0.26,0.7136589489826637
2020-01-03 15:00:00+10:00,51.96388084851119,257.2791417777506,0.24,0.5848272701658703
2020-01-03 15:30:00+10:00,45.074099391159564,256.6071716249225,0.23,0.4790263675003123
2020-01-03 16:00:00+10:00,38.20905756611415,255.6354894461836,0.15,0.2538964224426092
2020-01-03 16:30:00+10:00,31.379213165207624,254.4241196105499,0.24,0.30710742796552787
2020-01-03 17:00:00+10:00,24.59607993785579,252.99672398390925,0.19,0.16374717202456623
2020-01-03 17:30:00+10:00,17.87428068193433,251.3553441241158,0.17,0.07945464268092849
2020-01-03 18:00:00+10:00,11.236854108947826,249.48666960788364,0.17,0.024853540607017874
2020-01-04 06:30:00+10:00,10.231785383555534,110.76771236935696,0.12,0.01308438677066137
2020-01-04 07:00:00+10:00,16.85416925588082,108.85675258166646,0.2,0.0824719415333302
